course.canonical_course_id,course.course_id,course.course_name,course.course_num,course.dept_acro,course.dept_id,course.prof_id,course.prof_name,course.professor.dept_id,course.professor.name,course.professor.prof_id,course.professor.school_id,course.resource_url,course.school_id,course.school_name,course.term,course.term_string,course.verified,course.year,course_id,db_filename,description,doc_date,document_pages.page_count,filehash,has_answers,is_featured,resource_url,title,total_views,type,type_ml,type_string,user_id,username,diff_date,avg_views,base_date,excerpt_notes
1175609,3680425,Introduction to Electronic Circuits,101,EE,79306,812527,"Thomas,B.A.",0,"Thomas,B.A.",812527,395,https://www.coursehero.com/sitemap/schools/395-University-of-California-Santa-Cruz/courses/1175609-EE101/,395,"University of California, Santa Cruz",3,Spring,1,2014,3680425,27859242,Laboratory 3: Single Time Constant CircuitsClass: EE 101 Lab Section 4Instructors Name: S. C. PetersenDue Date: 10/ 11/ 2017Objective:We will be using laboratory oscillators to analyze single time-constant circuits in order tolearn how capacitors an,1/24/18 19:38,6,17d8e6c00d7fe1ac2c147f78883f9a33a8408e34,TRUE,FALSE,https://www.coursehero.com/file/27859242/EE101-Lab-3-Reportdocx/,EE101 Lab 3 Report.docx,284,lab,Lab,Lab,1.00001E+14,tzuri,2232,0.127240143,3/5/24 10:00,
1175609,10173008,Introduction to Electronic Circuits,101,EE,79306,812527,"Thomas,B.A.",0,"Thomas,B.A.",812527,395,https://www.coursehero.com/sitemap/schools/395-University-of-California-Santa-Cruz/courses/1175609-EE101/,395,"University of California, Santa Cruz",2,Winter,1,2019,10173008,38977310,Lab 1 ReportFUNDAMENTAL CIRCUIT THEORY LAWSTera Loew | Lab partner: Oliver Mulcahy | EE 101 lab | 1/20/2019ObjectiveThe purpose of this lab was to verify the fundamental laws of the Circuit Theory byconstructing and testing circuit designs to solidi,3/14/19 15:59,9,5743ee8e00109a19db5806d70c69957993de60f8,FALSE,FALSE,https://www.coursehero.com/file/38977310/Lab-1-Reportdocx/,Lab 1 Report.docx,221,lab,Lab,Lab,1.00001E+14,tloew,1818,0.121562156,3/5/24 10:00,
1175609,10173008,Introduction to Electronic Circuits,101,EE,79306,812527,"Thomas,B.A.",0,"Thomas,B.A.",812527,395,https://www.coursehero.com/sitemap/schools/395-University-of-California-Santa-Cruz/courses/1175609-EE101/,395,"University of California, Santa Cruz",2,Winter,1,2019,10173008,40732143,"Lab 5MAGNETICALLY COUPLED CICUIT-A TRANSFORMERTera Loew| Partner: Franklin Wong | EE 101 Lab | 3/14/2019ObjectiveThe purpose of this is lab was to investigate the voltage, current, and impedancerelationships between the primary and secondary winding",4/27/19 17:59,4,d4aa17fa5dc5b361e3c48dc9934fcf74695a8c96,FALSE,FALSE,https://www.coursehero.com/file/40732143/Lab-5-Reportdocx/,Lab 5 Report.docx,131,lab,Lab,Lab,1.00001E+14,tloew,1774,0.073844419,3/5/24 10:00,
1175609,3680425,Introduction to Electronic Circuits,101,EE,79306,812527,"Thomas,B.A.",0,"Thomas,B.A.",812527,395,https://www.coursehero.com/sitemap/schools/395-University-of-California-Santa-Cruz/courses/1175609-EE101/,395,"University of California, Santa Cruz",3,Spring,1,2014,3680425,27859290,Laboratory 4: Second Order Switched RLC CircuitsClass: EE 101 Lab Section 4Instructors Name: S. C. PetersenDue Date: 11/ 17/ 2017Objective:I will be analyzing relationship between transient voltage and current for second orderRLC circuits which resp,1/24/18 19:38,6,d537ace63b93d55c22c1b708784e78ac52f92f4f,FALSE,FALSE,https://www.coursehero.com/file/27859290/EE-101-Lab-4-Reportdocx/,EE 101 Lab 4 Report.docx,147,lab,Lab,Lab,1.00001E+14,tzuri,2232,0.065860215,3/5/24 10:00,
1175609,3680425,Introduction to Electronic Circuits,101,EE,79306,812527,"Thomas,B.A.",0,"Thomas,B.A.",812527,395,https://www.coursehero.com/sitemap/schools/395-University-of-California-Santa-Cruz/courses/1175609-EE101/,395,"University of California, Santa Cruz",3,Spring,1,2014,3680425,27859295,"Lab 5: Sinusoidal Steady State FiltersKyron FooIn collaboration with Linda Luu and Stephanie LinIntroduction:This experiment investigated the behavior of reactive devices when excited by asinusoidal voltage. In particular, we investigated the behavio",1/24/18 19:38,23,e1856fb1c98a42e071f6d8ce25c39449228dacdb,FALSE,FALSE,https://www.coursehero.com/file/27859295/ee-101-lab-5docx/,ee 101 lab 5.docx,131,lab,Lab,Lab,1.00001E+14,tzuri,2232,0.058691756,3/5/24 10:00,
1175609,10173008,Introduction to Electronic Circuits,101,EE,79306,812527,"Thomas,B.A.",0,"Thomas,B.A.",812527,395,https://www.coursehero.com/sitemap/schools/395-University-of-California-Santa-Cruz/courses/1175609-EE101/,395,"University of California, Santa Cruz",2,Winter,1,2019,10173008,38977347,"Lab 2 ReportFUNDAMENTAL CIRCUIT THEORY THEOREMSTera Loew | Sonali Goyal | EE 101 lab | 1/29/2019ObjectiveThe purpose of this lab was to verify Thevenin's and Norton's Equivalent Circuits,and the maximum power transfer theorem. We constructed a simpl",3/14/19 15:59,4,a21993d28a4b3a93b2c4b014ccacc46d0403c75a,FALSE,FALSE,https://www.coursehero.com/file/38977347/Lab-2-Reportdocx/,Lab 2 Report.docx,105,lab,Lab,Lab,1.00001E+14,tloew,1818,0.057755776,3/5/24 10:00,
1175609,3680425,Introduction to Electronic Circuits,101,EE,79306,812527,"Thomas,B.A.",0,"Thomas,B.A.",812527,395,https://www.coursehero.com/sitemap/schools/395-University-of-California-Santa-Cruz/courses/1175609-EE101/,395,"University of California, Santa Cruz",3,Spring,1,2014,3680425,28516539,"Spangler 1Laboratory 4Second Order Switched RLC CircuitsEE101/LJoshua SpanglerProfessor Stephen PetersonNovember 17, 2017Spangler 21. IntroductionThis lab investigates transient voltage and current relationships for second order RLCcircuits. An ",2/18/18 22:43,8,a4c18d6abff65f953f375259f30b6fcb6fc1e593,TRUE,FALSE,https://www.coursehero.com/file/28516539/Laboratory-4-EE101-JoshSpanglerdocx/,Laboratory 4_EE101_JoshSpangler.docx,127,lab,Lab,Lab,1.00001E+14,jdspangl,2207,0.057544178,3/5/24 10:00,
1175609,10173008,Introduction to Electronic Circuits,101,EE,79306,812527,"Thomas,B.A.",0,"Thomas,B.A.",812527,395,https://www.coursehero.com/sitemap/schools/395-University-of-California-Santa-Cruz/courses/1175609-EE101/,395,"University of California, Santa Cruz",2,Winter,1,2019,10173008,40732470,Lab 3 ReportSINGLE TIME CONSTANT CIRCUITSTera Loew | EE 101 lab | 2/10/2019ObjectiveThe purpose of this lab was to analyze single time-constant circuits to understandhow capacitors and inductors work in a circuit using oscillators. We used a RC circ,4/27/19 17:59,6,b7d964e1e0e592e6e498db13701009cc989db299,FALSE,FALSE,https://www.coursehero.com/file/40732470/Lab-3-Reportdocx/,Lab 3 Report.docx,99,lab,Lab,Lab,1.00001E+14,tloew,1774,0.055806088,3/5/24 10:00,
1175609,3680425,Introduction to Electronic Circuits,101,EE,79306,812527,"Thomas,B.A.",0,"Thomas,B.A.",812527,395,https://www.coursehero.com/sitemap/schools/395-University-of-California-Santa-Cruz/courses/1175609-EE101/,395,"University of California, Santa Cruz",3,Spring,1,2014,3680425,27859284,LAB 2 REPORTFundamental Circuit Theory LawsClass: EE 101 Lab Section 4Instructors Name: S. C. PetersenDue Date: 10/27/20171ObjectiveIn this lab we will use Thevenin and Norton engineering models to predict load voltageand current running through i,1/24/18 19:37,5,1ee03f5b4583a10a74de0da23ecf67a0d68f4190,FALSE,FALSE,https://www.coursehero.com/file/27859284/Lab2-Reportdocx/,Lab2 Report.docx,108,lab,Lab,Lab,1.00001E+14,tzuri,2232,0.048387097,3/5/24 10:00,
1175609,10173008,Introduction to Electronic Circuits,101,EE,79306,812527,"Thomas,B.A.",0,"Thomas,B.A.",812527,395,https://www.coursehero.com/sitemap/schools/395-University-of-California-Santa-Cruz/courses/1175609-EE101/,395,"University of California, Santa Cruz",2,Winter,1,2019,10173008,40732453,Lab 4 ReportSINUSODIAL STEADY STATE FILTERSTera Loew | Partner: Evan Collins-Smith | EE 101 lab | 3/14/2019ObjectiveThe purpose of this lab was to investigate the behavior of reactive devices whenexcited by a sinusoidal voltage. We investigated the ,4/27/19 17:59,19,177ed15ee3a72bebb115b538197bbd47af2b83ca,FALSE,FALSE,https://www.coursehero.com/file/40732453/Lab-4-Report-docx/,Lab 4 Report .docx,83,lab,Lab,Lab,1.00001E+14,tloew,1774,0.046786922,3/5/24 10:00,
